longitud,latitud,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septimbre,octubre,noviembre,diciembre
-179.75,71.25,-23.0,-25.7,-24.3,-17.9,-7.1,-0.1,1.8,1.4,-1.7,-8.2,-15.6,-22.2
-179.75,68.75,-26.0,-28.7,-26.7,-20.0,-7.8,0.1,3.0,1.7,-1.9,-10.4,-18.2,-25.5
-179.75,68.25,-25.9,-27.6,-25.9,-19.3,-8.6,0.0,2.9,2.0,-1.8,-9.7,-17.5,-24.5
-179.75,67.75,-24.1,-25.0,-23.5,-17.1,-7.7,1.2,4.5,3.8,-0.2,-7.6,-15.3,-22.2
-179.75,67.25,-24.8,-24.8,-24.0,-17.4,-9.1,-0.4,3.4,3.0,-1.6,-8.4,-16.0,-22.4
-179.75,66.75,-21.0,-20.1,-20.3,-13.0,-5.8,2.6,6.7,6.8,1.4,-5.0,-12.4,-18.2
-179.75,66.25,-19.2,-17.9,-19.1,-11.0,-4.2,3.9,8.2,8.4,2.5,-3.5,-11.0,-16.2
-179.75,65.75,-17.9,-17.5,-18.0,-10.2,-2.8,5.2,9.7,9.6,3.9,-2.8,-10.5,-15.9
-179.75,65.25,-17.5,-18.2,-17.9,-10.8,-2.3,5.3,10.1,9.5,4.1,-3.5,-11.2,-16.6
-179.75,-16.75,27.0,27.2,27.0,26.7,26.1,25.4,24.8,24.8,25.0,25.7,26.2,26.7
-179.75,-84.75,-18.5,-26.9,-37.9,-42.7,-44.0,-43.8,-47.7,-47.9,-46.8,-38.0,-27.1,-18.5
-179.75,-85.25,-23.6,-32.5,-43.8,-48.4,-49.6,-49.5,-53.0,-53.1,-52.3,-43.5,-32.4,-23.6
-179.75,-85.75,-23.1,-32.7,-44.3,-48.6,-49.6,-49.7,-52.7,-52.9,-52.2,-43.5,-32.2,-23.1
-179.75,-86.25,-25.1,-35.3,-47.3,-51.4,-52.1,-52.4,-55.0,-55.2,-54.6,-45.9,-34.4,-25.0
-179.75,-86.75,-26.8,-37.6,-50.0,-53.8,-54.4,-54.8,-57.0,-57.2,-56.7,-48.2,-36.5,-26.7
-179.75,-87.25,-27.8,-39.1,-51.8,-55.5,-56.0,-56.4,-58.4,-58.5,-58.1,-49.6,-37.7,-27.8
-179.75,-87.75,-28.4,-40.1,-53.0,-56.5,-57.0,-57.4,-59.2,-59.3,-59.0,-50.6,-38.5,-28.4
-179.75,-88.25,-29.1,-41.1,-54.3,-57.7,-58.1,-58.6,-60.1,-60.2,-60.0,-51.5,-39.3,-29.1
