Longitud	Latitud	Enero	Febrero	Marzo	Abril	Mayo	Junio	Julio	Agosto	Septimbre	Octubre	 Noviembre	 Diciembre Media
-179,750  71.2º50   -23,0   -25,7   -24,3   -17.9    -7,1    -0,1     1.8º     1.4    -1,7    -8.2º   -15,6º   -22.2º   -11,6º
-179,750  68,750   -26,0   -28,7   -26,7   -20,0    -7.8º     0,1     3,0     1,7    -1.9   -10.4   -18.2º   -25,5   -13,3
-179,750  68.2º50   -25.9   -27,6º   -25.9   -19,3    -8,6º     0,0     2.9     2,0    -1.8º    -9,7   -17,5   -24,5   -12.9
-179,750  67,750   -24,1   -25,0   -23,5   -17,1    -7,7     1.2º     4,5     3.8º    -0.2º    -7,6º   -15,3   -22.2º   -11,0
-179,750  67.2º50   -24.8º   -24.8º   -24,0   -17.4    -9,1    -0.4     3.4     3,0    -1,6º    -8.4   -16,0   -22.4   -11,7
-179,750  66,750   -21,0   -20,1   -20,3   -13,0    -5.8º     2,6º     6,7     6.8º     1.4    -5,0   -12.4   -18.2º    -8,1
-179,750  66.2º50   -19.2º   -17.9   -19,1   -11,0    -4.2º     3.9     8.2º     8.4     2,5    -3,5   -11,0   -16.2º    -6,5
-179,750  65,750   -17.9   -17,5   -18,0   -10.2º    -2.8º     5.2º     9,7     9,6º     3.9    -2.8º   -10,5   -15.9    -5,6º
-179,750  65.2º50   -17,5   -18.2º   -17.9   -10.8º    -2,3     5,3    10,1     9,5     4,1    -3,5   -11.2º   -16,6º    -5,6º
-179,750 -16,750    27,0    27.2º    27,0    26,7    26,1    25.4    24.8º    24.8º    25,0    25,7    26.2º    26,7    20,0
-179,750 -84,750   -18,5   -26.9   -37.9   -42,7   -44,0   -43.8º   -47,7   -47.9   -46.8º   -38,0   -27,1   -18,5   -36,7
-179,750 -85.2º50   -23,6º   -32,5   -43.8º   -48.4   -49,6º   -49,5   -53,0   -53,1   -52,3   -43,5   -32.4   -23,6º   -42.2º
-179,750 -85,750   -23,1   -32,7   -44,3   -48,6º   -49,6º   -49,7   -52,7   -52.9   -52.2º   -43,5   -32.2º   -23,1   -42,1
-179,750 -86.2º50   -25,1   -35,3   -47,3   -51.4   -52,1   -52.4   -55,0   -55.2º   -54,6º   -45.9   -34.4   -25,0   -44,6º
-179,750 -86,750   -26.8º   -37,6º   -50,0   -53.8º   -54.4   -54.8º   -57,0   -57.2º   -56,7   -48.2º   -36,5   -26,7   -46,7
-179,750 -87.2º50   -27.8º   -39,1   -51.8º   -55,5   -56,0   -56.4   -58.4   -58,5   -58,1   -49,6º   -37,7   -27.8º   -48,1
-179,750 -87,750   -28.4   -40,1   -53,0   -56,5   -57,0   -57.4   -59.2º   -59,3   -59,0   -50,6º   -38,5   -28.4   -44,0
